image_id,Mean_R,Mean_G,Mean_B,Std_R,Std_G,Std_B,Skew_R,Skew_G,Skew_B,Contrast_0,Correlation_0,Energy_0,Homogeneity_0,Contrast_45,Correlation_45,Energy_45,Homogeneity_45,Contrast_90,Correlation_90,Energy_90,Homogeneity_90,Contrast_135,Correlation_135,Energy_135,Homogeneity_135,Grade
fresh (31).jpg,53.41432183159722,40.33880750868055,39.965381944444445,71.89107891382505,60.53088519193841,59.579024734456496,1.0678903790862893,1.4069025973618738,1.4159624148182364,1606.0085250544676,0.7824513615965719,0.35398472344560733,0.4583208747396628,1747.5196603386987,0.7632620599725304,0.3493794005825435,0.436066052928458,1291.8168367569947,0.8247050357102179,0.3611933217652543,0.4649388377574943,1746.057617204603,0.7634601241704065,0.34893209133759195,0.44228229141935416,0
fresh (32).jpg,162.45394748263888,80.8799001736111,45.888301866319445,84.81163379152572,61.75000443578847,42.58104380518502,-1.0616224101035914,0.45764885309209274,1.2758353727720118,651.7433496732035,0.8980831344576958,0.12355771142929582,0.26644994525009613,771.2131431586145,0.8794892184094736,0.12157970244193453,0.2530790143441478,608.2684331293711,0.9052494891289699,0.12730733816794484,0.27828951838358307,773.3471644542138,0.8791557534308944,0.1215196645974351,0.2464349430169201,0
fresh (33).jpg,42.92794162326389,38.82575086805556,46.771053602430555,62.05767002852956,59.939549949017064,67.6399357415037,1.2941453072206868,1.4240000622036828,1.2815650782423378,1658.1232527233135,0.7833576845265005,0.3087000615060015,0.43222935483735914,1817.9419526365582,0.7625115880985923,0.30248161222424175,0.41395157350899653,1418.2895684003515,0.8144277954289628,0.3142154816362668,0.44133768075366786,1883.5136983152677,0.753945566656458,0.30205183409716185,0.413129717064306,0
fresh (34).jpg,161.79486002604168,80.46965711805555,45.551852213541665,84.72196500321519,61.86874261193961,42.6574080802588,-1.0486939978327192,0.4732181576414427,1.2998384084349384,630.6081514161228,0.9016667569250725,0.12403643436782319,0.2679498700548462,760.0047602056018,0.8815781050205033,0.12229971308022224,0.25510127069616095,581.1072552447556,0.9097319510497663,0.12721879273822534,0.280414942631281,751.998438074641,0.8828256285732613,0.12226233484830226,0.2486702745677753,0
fresh (35).jpg,60.23287760416667,48.09861762152778,48.478253038194445,76.92159451903827,68.9443888298912,68.61108856215762,0.883566836318836,1.2013749962246731,1.191334152222152,1985.1606557734221,0.7920691876802598,0.323909771216756,0.4303129012021365,2211.875494737397,0.7684025925117262,0.31886448925249733,0.4112614448338821,1819.3776879370648,0.809244765122166,0.3285052358574697,0.4396165008806161,2265.1896945762783,0.7628202572969389,0.31818507858014344,0.41519823056906324,0
fresh (36).jpg,161.09859592013888,79.77166341145833,45.123372395833336,84.79306125352379,61.902432374557854,42.75302961668009,-1.0353460272858999,0.4888324724424262,1.3205669410293877,638.5459150326808,0.9005919950944328,0.12489289078724315,0.27060004845333263,763.9305233270882,0.8811846959546695,0.12309193126889865,0.2580520592356439,582.258362106644,0.9097132247970567,0.12864495781884733,0.28385867957421934,755.6013128053811,0.882480151039098,0.12301407270971719,0.25129537350917003,0
fresh (37).jpg,56.82823133680556,42.72138671875,43.097676866319446,69.54527736685854,57.63797397848377,57.61068690707596,0.9552360065947181,1.2617484221609738,1.2423586009384424,1212.7325773420494,0.819920255722133,0.30768834824532154,0.4252941783146292,1335.4055609796694,0.8016923641345426,0.3032765858998777,0.4049688779193251,996.9301988636378,0.8517790251586844,0.3140759195701304,0.4337280203080408,1320.2095158140855,0.8039489758181726,0.3025349480811426,0.4077063372934261,0
fresh (38).jpg,159.9612619357639,78.89147894965278,44.48589409722222,84.89555209572771,61.88926374842615,42.740372289199115,-1.0145568882828488,0.5109618963602739,1.3565001837700166,652.7507973856218,0.8983634987541284,0.12671027521928377,0.27174032499457645,780.6882574298185,0.8785623261511352,0.12475655087338185,0.25921190950945183,601.7876813811196,0.9066617398076013,0.1298617771372897,0.28357826763322574,773.1123524544242,0.8797407738461734,0.12478017540529619,0.2524164921016556,0
fresh (39).jpg,42.100537109375,40.33891493055555,47.96807074652778,60.30380445856456,61.53934678080392,68.74387447813679,1.2962535802692619,1.4048135665249317,1.2800242834049498,1610.610274509805,0.7971293262502921,0.30517925286049286,0.4335331926765767,1767.0375573545132,0.7773529963475164,0.2975621422646438,0.41062627455292916,1357.4789149912604,0.8286692650705214,0.31029340289588947,0.4420112741864623,1810.1578201345,0.7719198366137502,0.2974114297223609,0.4104358707801919,0
fresh (4).jpg,75.61074951171875,28.544302571614583,16.43361572265625,106.50249823691695,51.534253233724776,41.29955838523241,0.812875922372221,2.121837764852814,3.39166767845671,674.1088710732975,0.8707454203937925,0.504820698684365,0.5780874257988953,724.7190242126932,0.8612276556284632,0.4999956652103307,0.5680193477597413,594.5186862745097,0.8859099720254353,0.5052171569898143,0.5823199080754279,761.7006728663052,0.8541462490268338,0.5000639192089886,0.566842823324725,0
fresh (40).jpg,159.21772786458334,78.2473611111111,44.119671223958335,84.79701556609915,61.947861873453824,42.85172418219245,-0.9993364483806908,0.5319451416115021,1.3910094413594956,646.2551590413954,0.8995439911493114,0.12544798034593735,0.269539319466363,778.5668639778648,0.8791097504885865,0.12371682839795763,0.25689423530563005,606.0168684440566,0.9061692281781597,0.12985498430960468,0.2848499212523127,771.4680741142898,0.8802119993994275,0.12369306277414482,0.2516340701189327,0
fresh (41).jpg,56.372236328125,42.71804253472222,42.43905707465278,74.21842603884654,62.398914962757495,61.41911249529619,0.9982845884145635,1.3232621683228913,1.3223747076937666,1875.4297603485857,0.7608490866871074,0.3465761207412367,0.44917420250506646,1933.9631781842727,0.753337962672451,0.3427515511149802,0.4285979222932229,1471.1606566870641,0.8120809050619648,0.3542236245006566,0.4590276139343423,2015.251106591831,0.7429703164538868,0.34186784112429447,0.43021620620452394,0
fresh (42).jpg,157.83085069444445,76.746103515625,43.54149739583333,85.04213938127191,61.93711687630031,43.20365963067828,-0.9748872232877639,0.5630727969111502,1.4295398085863187,706.6941601307201,0.8905597768077437,0.13578374429547313,0.27585835224468397,827.4465968196719,0.8720124721956999,0.1335931308374376,0.2626174862625459,646.7066062062945,0.9002359784416842,0.13889410100773028,0.2893027817254142,830.0774614279974,0.8716055361366221,0.13343205131639743,0.25689373340047794,0
